id,supplier_id,location_type,name,address_line1,address_line2,city,state_province,postal_code,country,latitude,longitude,capacity_mt,operational_since,phone,email,created_at
abe3ef84-84e0-4d7c-9e25-0cf8edb2f06a,3969643f-066c-4899-9665-45657442ebf6,headquarters,Legacy Minerals Headquarters,6658 Business Boulevard,Floor 5,Katanga,Katanga,64092,Democratic Republic of Congo,11.92814,-56.34959,,2000,+327-332-3376,sales@legacyminerals.com,2024-02-15T05:38:30.408Z
b7ec2b6c-7489-44da-951d-b1a012a12427,3969643f-066c-4899-9665-45657442ebf6,processing_plant,Kinshasa Processing Plant,843 Mining Way,,Kinshasa,Kinshasa,,Democratic Republic of Congo,-29.11544,60.14422,15285,2004,,,2018-07-07T05:38:30.449Z
19ca54d8-7fcb-4792-ba17-b9795e7905b1,3969643f-066c-4899-9665-45657442ebf6,processing_plant,Katanga Processing Plant,713 Industrial Way,,Katanga,Katanga,,Democratic Republic of Congo,34.3967,-75.56321,13608,2003,,,2022-02-23T05:38:30.449Z
987ea852-2769-47e3-a38e-4d1cebbe1d98,3969643f-066c-4899-9665-45657442ebf6,office,Ontario Office,153 Industrial Zone,,Ontario,Ontario,,Canada,34.67931,-65.30481,,2001,,,2024-05-24T05:38:30.449Z
bd1c79ab-9d51-4ce8-b447-76e0c10e033f,3969643f-066c-4899-9665-45657442ebf6,warehouse,Manono Warehouse,794 Mining Way,,Manono,Manono,,Democratic Republic of Congo,-22.68592,-95.38971,,2022,,,2024-09-24T05:38:30.449Z
5f189bca-2c15-4962-808b-48ebbe921738,3969643f-066c-4899-9665-45657442ebf6,processing_plant,Kinshasa Processing Plant,106 Processing Road,,Kinshasa,Kinshasa,,Democratic Republic of Congo,-3.25697,-57.26882,10562,2024,,,2019-09-13T05:38:30.449Z
b9b98db2-a974-45e8-add1-148651782242,3969643f-066c-4899-9665-45657442ebf6,mining_operation,Sikasso Mining Operation,Mine Site Processing Road,,Sikasso,Sikasso,,Mali,30.9238,128.77206,42302,2021,,,2024-08-19T05:38:30.449Z
9d067a5f-a8dc-4e85-919c-26c3ba912ad9,3969643f-066c-4899-9665-45657442ebf6,warehouse,Kinshasa Warehouse,272 Processing Way,,Kinshasa,Kinshasa,,Democratic Republic of Congo,0.97823,-37.90049,,2017,,,2018-05-28T05:38:30.449Z
36961cef-2c8a-4b42-b443-bf4c2f40f36b,3969643f-066c-4899-9665-45657442ebf6,office,California Office,305 Industrial Road,,California,California,74209,United States,-18.64009,18.66347,,2007,,,2023-04-23T05:38:30.449Z
aa7c2c5d-cee8-489e-8619-2cbb948cb36e,3969643f-066c-4899-9665-45657442ebf6,mining_operation,Karas Mining Operation,Mine Site Mining Road,,Karas,Karas,,Namibia,-33.5552,-31.64304,49939,2019,,,2016-06-10T05:38:30.449Z
9dbcd9bd-3b6b-491d-bdea-a810edeee2e6,3969643f-066c-4899-9665-45657442ebf6,warehouse,Arkansas Warehouse,280 Mining Way,,Arkansas,Arkansas,24120,United States,3.96495,10.24026,,2000,,,2016-01-12T05:38:30.449Z
427d484a-e9c2-4223-a4f1-49e0c93e082d,3969643f-066c-4899-9665-45657442ebf6,processing_plant,Kinshasa Processing Plant,292 Mining Zone,,Kinshasa,Kinshasa,,Democratic Republic of Congo,12.93253,35.47647,20352,2022,,,2020-05-15T05:38:30.449Z
070746ff-bb8e-417e-99d6-961e6418bc1b,3969643f-066c-4899-9665-45657442ebf6,processing_plant,Katanga Processing Plant,853 Processing Way,,Katanga,Katanga,,Democratic Republic of Congo,35.71995,-108.30346,45958,2007,,,2018-06-02T05:38:30.449Z
5d12dd63-08fa-4b13-9f3c-9005a0b16d6c,3926362c-b964-4f16-bb68-8c63ae3ee25f,headquarters,Eclipse Holdings Headquarters,4393 Central Drive,Building A,Gauteng,Gauteng,44824,South Africa,-30.52769,18.13963,,1992,+908-795-5229,sales@eclipseholdings.com,2021-02-05T05:38:30.408Z
8c56bb35-fb2f-418b-a88f-ca2d07f19fe6,3926362c-b964-4f16-bb68-8c63ae3ee25f,processing_plant,Western Province Processing Plant,394 Industrial Road,,Western Province,Western Province,,Rwanda,-18.1542,4.20983,35477,2006,,,2018-06-23T05:38:30.449Z
ea67a101-0070-4a49-845a-38c9c541bafd,3926362c-b964-4f16-bb68-8c63ae3ee25f,r_and_d_center,Northern Cape R And D Center,833 Processing Zone,,Northern Cape,Northern Cape,,South Africa,-23.49896,-40.69347,,2021,,,2024-05-22T05:38:30.449Z
1c30eb01-90c2-43c1-be54-9e518b94b423,3926362c-b964-4f16-bb68-8c63ae3ee25f,processing_plant,Qinghai Processing Plant,340 Industrial Way,,Qinghai,Qinghai,,China,30.40387,-43.61453,15437,2004,,,2023-11-16T05:38:30.449Z
fe489d87-1a72-45ca-b980-bf9d5d9ea2fb,3926362c-b964-4f16-bb68-8c63ae3ee25f,processing_plant,Western Processing Plant,135 Processing Road,,Western,Western,,Ghana,23.54058,96.52577,6072,2005,,,2024-01-14T05:38:30.449Z
8eaead8f-2da1-49f2-a26f-6d8c0c09bc5e,3926362c-b964-4f16-bb68-8c63ae3ee25f,mining_operation,Gauteng Mining Operation,Mine Site Processing Road,,Gauteng,Gauteng,,South Africa,41.75565,10.25341,45906,2002,,,2021-08-05T05:38:30.449Z
7b07b3c4-8c7a-4ab3-8908-3d36c048dad0,3926362c-b964-4f16-bb68-8c63ae3ee25f,mining_operation,Goromonzi Mining Operation,Mine Site Mining Way,,Goromonzi,Goromonzi,,Zimbabwe,-19.18727,27.0476,7636,2004,,,2022-06-20T05:38:30.449Z
5992ef01-5a56-4873-8b64-f75e1d4a021f,3926362c-b964-4f16-bb68-8c63ae3ee25f,r_and_d_center,Limpopo R And D Center,850 Mining Zone,,Limpopo,Limpopo,,South Africa,-24.0336,53.70726,,2012,,,2024-12-29T05:38:30.449Z
eefc0fbf-f94b-45cf-b9da-0c58c47962aa,3926362c-b964-4f16-bb68-8c63ae3ee25f,office,Northern Cape Office,753 Processing Way,,Northern Cape,Northern Cape,,South Africa,36.7997,100.40502,,2016,,,2018-05-01T05:38:30.449Z
67b56876-db89-4be1-876b-f1c01a01bfd3,3926362c-b964-4f16-bb68-8c63ae3ee25f,mining_operation,Salta Mining Operation,Mine Site Processing Zone,,Salta,Salta,,Argentina,46.07481,97.42953,23866,2009,,,2018-05-02T05:38:30.449Z
94b8c1f1-fabb-49e5-a1ca-0c180ad3c229,3926362c-b964-4f16-bb68-8c63ae3ee25f,r_and_d_center,Northern Cape R And D Center,89 Industrial Way,,Northern Cape,Northern Cape,,South Africa,-9.40216,-2.15042,,1993,,,2019-02-15T05:38:30.449Z
8d1280fa-8020-43d4-859f-8c17ddbaad77,3926362c-b964-4f16-bb68-8c63ae3ee25f,processing_plant,Limpopo Processing Plant,946 Mining Road,,Limpopo,Limpopo,,South Africa,-12.55714,65.70313,24503,2011,,,2023-08-19T05:38:30.449Z
a51a6593-1fab-41c3-93e4-810788c254b2,3926362c-b964-4f16-bb68-8c63ae3ee25f,warehouse,Northern Cape Warehouse,115 Mining Zone,,Northern Cape,Northern Cape,,South Africa,-30.05378,45.95928,,2023,,,2021-02-27T05:38:30.449Z
11b1dbc3-80fd-4ffc-a72d-40e475f5e377,3926362c-b964-4f16-bb68-8c63ae3ee25f,warehouse,Katanga Warehouse,575 Mining Road,,Katanga,Katanga,,Democratic Republic of Congo,-8.21209,-119.11557,,2020,,,2018-11-03T05:38:30.449Z
