id,supplier_id,name,description,category,grade,purity_percentage,li2co3_content,lioh_content,li2o_content,particle_size_um,bulk_density,moisture_content,unit,min_order_quantity,lead_time_days,available_quantity,certifications,esg_compliant,conflict_free,specifications,pricing,status,created_at,updated_at
b0b638ea-7709-48a1-b34f-b5abf6035cbd,3969643f-066c-4899-9665-45657442ebf6,Industrial Grade Lithium Hydroxide 99.63%,High-quality industrial grade lithium hydroxide for industrial applications. Reliable quality for manufacturing.,Lithium Hydroxide,Industrial Grade,99.63,,56.93,,,1.06 g/cm³,0.1,MT,238,79,4779,"[""REACH"",""IATF 16949:2016"",""RoHS""]",true,true,"{""Na"":""≤0.0001%"",""Mg"":""≤0.0007%"",""Ca"":""≤0.0018%"",""Fe"":""≤0.0002%""}","{""base_price"":6091,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",out_of_stock,2024-09-11T05:38:30.413Z,2025-12-18T05:38:30.413Z
cd5af369-2696-4fca-a94f-01f701fd6464,3969643f-066c-4899-9665-45657442ebf6,Industrial Grade Lithium Chloride 98.7%,High-quality industrial grade lithium chloride for industrial applications. Reliable quality for manufacturing.,Lithium Chloride,Industrial Grade,98.66,,,,,0.98 g/cm³,0.04,MT,193,56,6760,"[""IATF 16949:2016"",""RoHS"",""REACH""]",true,true,"{""Na"":""≤0.0008%"",""Mg"":""≤0.0002%"",""Ca"":""≤0.0012%"",""Fe"":""≤0.0001%""}","{""base_price"":7266,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-02-17T05:38:30.413Z,2025-12-30T05:38:30.413Z
6293d89b-f130-4d0a-b9f6-1c2b89b699af,3969643f-066c-4899-9665-45657442ebf6,Battery Grade Recycled Lithium 98.3%,High-quality battery grade recycled lithium for EV battery applications. Meets strict automotive specifications.,Recycled Lithium,Battery Grade,98.32,,,,D50: 53μm,1.04 g/cm³,0.06,MT,14,55,3993,"[""ISO 14001:2015"",""ISO 9001:2015""]",true,true,"{""Na"":""≤0.0007%"",""Mg"":""≤0.001%"",""Ca"":""≤0.0003%"",""Fe"":""≤0.0005%""}","{""base_price"":1039,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-01-22T05:38:30.413Z,2025-12-14T05:38:30.413Z
d527cc79-7902-4210-b291-99d29b52d60e,3969643f-066c-4899-9665-45657442ebf6,Technical Grade Other 98.2%,High-quality technical grade other for industrial applications. Reliable quality for manufacturing.,Other,Technical Grade,98.16,,,,,1.33 g/cm³,0.05,MT,243,65,9810,"[""REACH"",""ISO 14001:2015""]",true,true,"{""Na"":""≤0.0003%"",""Mg"":""≤0.0003%"",""Ca"":""≤0.0001%"",""Fe"":""≤0.0003%""}","{""base_price"":7603,""currency"":""USD"",""unit"":""MT"",""incoterms"":""CIF""}",active,2024-04-26T05:38:30.413Z,2025-12-22T05:38:30.413Z
bbfde3e9-0a3c-4a41-ba29-885ef7682185,3969643f-066c-4899-9665-45657442ebf6,Pharmaceutical Grade Other 98.7%,High-quality pharmaceutical grade other for industrial applications. Reliable quality for manufacturing.,Other,Pharmaceutical Grade,98.71,,,,,1.08 g/cm³,0.13,MT,468,86,9463,"[""REACH"",""ISO 9001:2015""]",true,true,"{""Na"":""≤0.0004%"",""Mg"":""≤0.0005%"",""Ca"":""≤0.0004%"",""Fe"":""≤0.0003%""}","{""base_price"":8029,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2025-05-23T05:38:30.413Z,2025-12-07T05:38:30.413Z
5bbece3a-5111-4279-aea6-229e92b57e58,3969643f-066c-4899-9665-45657442ebf6,Pharmaceutical Grade Other 98.8%,High-quality pharmaceutical grade other for industrial applications. Reliable quality for manufacturing.,Other,Pharmaceutical Grade,98.78,,,,,1.11 g/cm³,0.08,MT,281,44,8613,"[""ISO 9001:2015"",""RoHS""]",true,true,"{""Na"":""≤0.0008%"",""Mg"":""≤0.0004%"",""Ca"":""≤0.0017%"",""Fe"":""≤0.0001%""}","{""base_price"":7709,""currency"":""USD"",""unit"":""MT"",""incoterms"":""EXW""}",active,2025-04-07T05:38:30.414Z,2025-12-14T05:38:30.414Z
fd0704ca-6f11-4895-ab6e-6900f944db03,3969643f-066c-4899-9665-45657442ebf6,Pharmaceutical Grade Lithium Chloride 98.6%,High-quality pharmaceutical grade lithium chloride for industrial applications. Reliable quality for manufacturing.,Lithium Chloride,Pharmaceutical Grade,98.64,,,,,1.13 g/cm³,0.05,MT,365,31,2629,"[""REACH"",""ISO 14001:2015"",""ISO 9001:2015"",""IATF 16949:2016""]",true,true,"{""Na"":""≤0.0003%"",""Mg"":""≤0.0002%"",""Ca"":""≤0.0001%"",""Fe"":""≤0.0004%""}","{""base_price"":9398,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-10-30T05:38:30.414Z,2025-12-31T05:38:30.414Z
0106a0f4-69b1-418a-afc1-fc24761c8658,3969643f-066c-4899-9665-45657442ebf6,Technical Grade Lithium Spodumene,High-quality technical grade lithium spodumene for industrial applications. Reliable quality for manufacturing.,Lithium Spodumene,Technical Grade,,,,5.55,,0.88 g/cm³,0.08,MT,88,80,439,"[""RoHS"",""IATF 16949:2016""]",true,true,"{""Na"":""≤0.0008%"",""Mg"":""≤0.0005%"",""Ca"":""≤0.0015%"",""Fe"":""≤0.0005%""}","{""base_price"":7748,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-11-18T05:38:30.414Z,2025-12-27T05:38:30.414Z
e0aae815-b9f1-41db-b75e-177e2be6e096,3969643f-066c-4899-9665-45657442ebf6,Technical Grade Lithium Carbonate 99.76%,High-quality technical grade lithium carbonate for industrial applications. Reliable quality for manufacturing.,Lithium Carbonate,Technical Grade,99.76,99.76,,,,1.16 g/cm³,0.1,MT,51,54,5064,"[""RoHS"",""REACH"",""IATF 16949:2016""]",true,true,"{""Na"":""≤0.0001%"",""Mg"":""≤0.0003%"",""Ca"":""≤0.0013%"",""Fe"":""≤0.0005%""}","{""base_price"":6144,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2024-06-22T05:38:30.414Z,2025-12-26T05:38:30.414Z
149749f4-a1a3-44d1-bc87-af5412f6f4c4,3969643f-066c-4899-9665-45657442ebf6,Industrial Grade Recycled Lithium 98.7%,High-quality industrial grade recycled lithium for industrial applications. Reliable quality for manufacturing.,Recycled Lithium,Industrial Grade,98.68,,,,,1.23 g/cm³,0.02,MT,347,84,5139,"[""ISO 9001:2015"",""ISO 14001:2015"",""IATF 16949:2016"",""REACH""]",true,true,"{""Na"":""≤0.0006%"",""Mg"":""≤0.0007%"",""Ca"":""≤0.0008%"",""Fe"":""≤0.0001%""}","{""base_price"":8570,""currency"":""USD"",""unit"":""MT"",""incoterms"":""FOB""}",active,2025-04-18T05:38:30.414Z,2025-12-29T05:38:30.414Z
